catalogNumber;recordNumber;organismName;scientificname;genus;subFamily;family;order;class;phylum;kingdom;locality;sector;stateProvince;country;tribu;subtribu;habitat;decimalLatitude;decimalLongitude;eventDate;species_homepage;dctermns:references;fotografia;vista;sex;comentario;recordedBy;emailautor
04-SRNP-48498-DHJ307282;04-SRNP-48498;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/404-i-achlyodes-bussirus-i-hesperiidae;Achlyodes busirus;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Otilio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88996;-85,47966;9/3/2004;;;04-SRNP-48498-DHJ307282.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-48498-DHJ307283;04-SRNP-48498;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/404-i-achlyodes-bussirus-i-hesperiidae;Achlyodes busirus;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Otilio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88996;-85,47966;9/3/2004;;;04-SRNP-48498-DHJ307283.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-35304-DHJ99174;04-SRNP-35304;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/636-i-achlyodes-pallida-i-hesperiidae;Achlyodes pallida;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Derrumbe;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,92918;-85,46426;03/24/2004;;;04-SRNP-35304-DHJ99174.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-35304-DHJ99175;04-SRNP-35304;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/636-i-achlyodes-pallida-i-hesperiidae;Achlyodes pallida;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Derrumbe;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,92918;-85,46426;03/24/2004;;;04-SRNP-35304-DHJ99175.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-45082-DHJ99172;04-SRNP-45082;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/636-i-achlyodes-pallida-i-hesperiidae;Achlyodes pallida;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rancho Harold;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,90475;-85,46803;3/2/2004;;;04-SRNP-45082-DHJ99172.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-45082-DHJ99173;04-SRNP-45082;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/636-i-achlyodes-pallida-i-hesperiidae;Achlyodes pallida;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rancho Harold;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,90475;-85,46803;3/2/2004;;;04-SRNP-45082-DHJ99173.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-20-DHJ302924;05-SRNP-20;;Aethilla echina;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Palo Alto;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,88186;-85,38221;1/6/2005;;;05-SRNP-20-DHJ302924.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-20-DHJ302925;05-SRNP-20;;Aethilla echina;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Palo Alto;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,88186;-85,38221;1/6/2005;;;05-SRNP-20-DHJ302925.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-14545-DHJ305688;02-SRNP-14545;;Aethilla lavochreaDHJ02;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Orosi;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,99371;-85,46392;04/21/2002;;;02-SRNP-14545-DHJ305688.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-14545-DHJ305689;02-SRNP-14545;;Aethilla lavochreaDHJ02;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Orosi;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,99371;-85,46392;04/21/2002;;;02-SRNP-14545-DHJ305689.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-49719-DHJ306518;04-SRNP-49719;;Aethilla lavochreaDHJ02;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Heliconia;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88585;-85,49222;10/24/2004;;;04-SRNP-49719-DHJ306518.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-49719-DHJ306519;04-SRNP-49719;;Aethilla lavochreaDHJ02;Aethilla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Heliconia;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88585;-85,49222;10/24/2004;;;04-SRNP-49719-DHJ306519.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57391-DHJ308980;05-SRNP-57391;;Aguna arunce hypozonius;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/20/2005;;;05-SRNP-57391-DHJ308980.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57391-DHJ308981;05-SRNP-57391;;Aguna arunce hypozonius;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/20/2005;;;05-SRNP-57391-DHJ308981.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57393-DHJ308974;05-SRNP-57393;;Aguna arunce hypozonius;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/20/2005;;;05-SRNP-57393-DHJ308974.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57393-DHJ308975;05-SRNP-57393;;Aguna arunce hypozonius;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/20/2005;;;05-SRNP-57393-DHJ308975.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-56838-DHJ308986;05-SRNP-56838;;Aguna asander;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Mamones;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77074;-85,42874;6/5/2005;;;05-SRNP-56838-DHJ308986.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-56838-DHJ308987;05-SRNP-56838;;Aguna asander;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Mamones;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77074;-85,42874;6/5/2005;;;05-SRNP-56838-DHJ308987.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-56795-DHJ323830;05-SRNP-56795;;Aguna asander;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Mora;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76828;-85,42567;6/4/2005;;;05-SRNP-56795-DHJ323830.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-56795-DHJ323831;05-SRNP-56795;;Aguna asander;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Mora;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76828;-85,42567;6/4/2005;;;05-SRNP-56795-DHJ323831.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-21307-DHJ39548;03-SRNP-21307;;Aguna Burns01;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;10/9/2003;;;03-SRNP-21307-DHJ39548.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-21307-DHJ39549;03-SRNP-21307;;Aguna Burns01;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;10/9/2003;;;03-SRNP-21307-DHJ39549.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-71111-DHJ390640;08-SRNP-71111;;Aguna Burns01;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Quica;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;10,99697;-85,39666;7/2/2008;;;08-SRNP-71111-DHJ390640.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-71111-DHJ390641;08-SRNP-71111;;Aguna Burns01;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Quica;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;10,99697;-85,39666;7/2/2008;;;08-SRNP-71111-DHJ390641.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-40266-DHJ308970;05-SRNP-40266;;Aguna Burns02;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;01/24/2005;;;05-SRNP-40266-DHJ308970.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-40266-DHJ308971;05-SRNP-40266;;Aguna Burns02;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;01/24/2005;;;05-SRNP-40266-DHJ308971.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-43291-DHJ327226;05-SRNP-43291;;Aguna Burns02;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Parcelas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90777;-85,29137;11/10/2005;;;05-SRNP-43291-DHJ327226.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-43291-DHJ327227;05-SRNP-43291;;Aguna Burns02;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Parcelas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90777;-85,29137;11/10/2005;;;05-SRNP-43291-DHJ327227.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41659-DHJ308984;05-SRNP-41659;;Aguna claxon;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;06/25/2005;;;05-SRNP-41659-DHJ308984.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41659-DHJ308985;05-SRNP-41659;;Aguna claxon;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;06/25/2005;;;05-SRNP-41659-DHJ308985.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41925-DHJ317232;05-SRNP-41925;;Aguna claxon;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;07/28/2005;;;05-SRNP-41925-DHJ317232.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41925-DHJ317233;05-SRNP-41925;;Aguna claxon;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;07/28/2005;;;05-SRNP-41925-DHJ317233.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-6676-DHJ34652;02-SRNP-6676;;Aguna coeloides;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Rio Francia;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90093;-85,28915;3/9/2002;;;02-SRNP-6676-DHJ34652.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-6676-DHJ34653;02-SRNP-6676;;Aguna coeloides;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Rio Francia;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90093;-85,28915;3/9/2002;;;02-SRNP-6676-DHJ34653.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-20032-DHJ39552;03-SRNP-20032;;Aguna coeloides;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;7/4/2003;;;03-SRNP-20032-DHJ39552.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-20032-DHJ39553;03-SRNP-20032;;Aguna coeloides;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;7/4/2003;;;03-SRNP-20032-DHJ39553.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41056-DHJ305264;05-SRNP-41056;;Aguna metophis;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;04/19/2005;;;05-SRNP-41056-DHJ305264.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-41056-DHJ305265;05-SRNP-41056;;Aguna metophis;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Juntas;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90661;-85,28784;04/19/2005;;;05-SRNP-41056-DHJ305265.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-55747-DHJ390632;08-SRNP-55747;;Aguna panama;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Miramonte;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77175;-85,434;3/27/2008;;;08-SRNP-55747-DHJ390632.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-55747-DHJ390633;08-SRNP-55747;;Aguna panama;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Miramonte;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77175;-85,434;3/27/2008;;;08-SRNP-55747-DHJ390633.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
09-SRNP-57341-DHJ512820;09-SRNP-57341;;Aguna panama;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Tibio Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76261;-85,42979;09/13/2009;;;09-SRNP-57341-DHJ512820.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
09-SRNP-57341-DHJ512821;09-SRNP-57341;;Aguna panama;Aguna;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Tibio Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76261;-85,42979;09/13/2009;;;09-SRNP-57341-DHJ512821.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-31491-DHJ306902;04-SRNP-31491;;Aides brino;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;03/24/2004;;;04-SRNP-31491-DHJ306902.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-31491-DHJ306903;04-SRNP-31491;;Aides brino;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;03/24/2004;;;04-SRNP-31491-DHJ306903.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-34350-DHJ306896;04-SRNP-34350;;Aides brino;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Laguna;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;10,9888;-85,42336;8/9/2004;;;04-SRNP-34350-DHJ306896.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-34350-DHJ306897;04-SRNP-34350;;Aides brino;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Laguna;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;10,9888;-85,42336;8/9/2004;;;04-SRNP-34350-DHJ306897.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-18858-DHJ34634;02-SRNP-18858;;Aides Burns01;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;08/20/2002;;;02-SRNP-18858-DHJ34634.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-18858-DHJ34635;02-SRNP-18858;;Aides Burns01;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;08/20/2002;;;02-SRNP-18858-DHJ34635.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-20278-DHJ90108;03-SRNP-20278;;Aides Burns01;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Loaiciga;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01983;-85,41342;07/21/2003;;;03-SRNP-20278-DHJ90108.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-20278-DHJ90109;03-SRNP-20278;;Aides Burns01;Aides;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Loaiciga;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01983;-85,41342;07/21/2003;;;03-SRNP-20278-DHJ90109.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-16276-DHJ37004;02-SRNP-16276;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3529-anastrus-neaeris;Anastrus neaeris;Anastrus;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Uncaria;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01752;-85,47411;06/20/2002;;;02-SRNP-16276-DHJ37004.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-16276-DHJ37005;02-SRNP-16276;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3529-anastrus-neaeris;Anastrus neaeris;Anastrus;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Uncaria;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01752;-85,47411;06/20/2002;;;02-SRNP-16276-DHJ37005.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-60781-DHJ306946;04-SRNP-60781;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3529-anastrus-neaeris;Anastrus neaeris;Anastrus;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;11/11/2004;;;04-SRNP-60781-DHJ306946.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-60781-DHJ306947;04-SRNP-60781;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3529-anastrus-neaeris;Anastrus neaeris;Anastrus;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;11/11/2004;;;04-SRNP-60781-DHJ306947.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
